dataset,field,dtype,rows,missing_count,missing_pct,blank_text_count
examples_before,example_id,int64,1818825,0,0.0,0
examples_before,query,str,1818825,0,0.0,0
examples_before,query_id,int64,1818825,0,0.0,0
examples_before,product_id,str,1818825,0,0.0,0
examples_before,product_locale,str,1818825,0,0.0,0
examples_before,esci_label,str,1818825,0,0.0,0
examples_before,large_version,int64,1818825,0,0.0,0
examples_before,split,str,1818825,0,0.0,0
products_before,product_id,str,1215854,0,0.0,0
products_before,product_locale,str,1215854,0,0.0,0
products_before,product_title,str,1215854,0,0.0,0
joined_clean_after,example_id,int64,1818825,0,0.0,0
joined_clean_after,query,str,1818825,0,0.0,0
joined_clean_after,query_id,int64,1818825,0,0.0,0
joined_clean_after,product_id,str,1818825,0,0.0,0
joined_clean_after,product_locale,str,1818825,0,0.0,0
joined_clean_after,esci_label,str,1818825,0,0.0,0
joined_clean_after,large_version,int64,1818825,0,0.0,0
joined_clean_after,split,str,1818825,0,0.0,0
joined_clean_after,product_title,str,1818825,0,0.0,0
joined_clean_after,query_norm,str,1818825,0,0.0,0
joined_clean_after,query_chars,int64,1818825,0,0.0,0
joined_clean_after,title_chars,int64,1818825,0,0.0,0
joined_clean_after,query_words,int64,1818825,0,0.0,0
joined_clean_after,title_words,int64,1818825,0,0.0,0
joined_clean_after,query_chars_length_outlier,bool,1818825,0,0.0,0
joined_clean_after,title_chars_length_outlier,bool,1818825,0,0.0,0
