epoch,train_loss,validation_loss,train_accuracy,train_macro_f1,validation_accuracy,validation_macro_f1,seconds
1,0.9161118292619311,0.7882668375968933,0.6986454927603923,0.20698495500354747,0.6943563728598605,0.20497940846125046,0.6123182773590088
2,0.7696399797522833,0.7740281224250793,0.7092013078000934,0.29136811717855066,0.6953709575142676,0.24976559364416523,0.5903198719024658
3,0.7467768972828275,0.7737933993339539,0.7159582749494006,0.32484900383596493,0.6954977805960685,0.2624910700256121,0.7328381538391113
4,0.7278157780094753,0.7738723754882812,0.722497275416472,0.3523196892803295,0.6951173113506658,0.282446438024496,0.6088569164276123
5,0.7115063407118358,0.7817423939704895,0.7262649852094037,0.34846483984490617,0.6975269499048827,0.2808754785649838,0.5461580753326416
6,0.6949110419031174,0.7800103425979614,0.7360112097150864,0.38823879848893234,0.6932149651236525,0.2956062135342671,0.5637354850769043
7,0.68370621166532,0.7896551489830017,0.7375058383932742,0.3771328472728957,0.6957514267596703,0.2845202654551492,0.5457935333251953
8,0.6734639912370651,0.7889782786369324,0.7431106959364783,0.3904941649032788,0.6967660114140773,0.283983471976607,0.5132124423980713
9,0.6630210356106834,0.7926750779151917,0.7526700918573875,0.42458410761679166,0.6885225110970197,0.29828995612522985,0.6945669651031494
10,0.6530223909824614,0.8095669746398926,0.7541647205355753,0.42307193564455825,0.6939759036144578,0.2904316264457317,0.5233252048492432
11,0.6409280446786729,0.8098635077476501,0.7619181068036743,0.4624322101029203,0.6882688649334179,0.29605219327131116,0.5516064167022705
12,0.6318925094036829,0.8151730895042419,0.7694846644869998,0.48156151041923584,0.684717818642993,0.3001336721166593,0.5264401435852051
13,0.6221817232786663,0.8160350322723389,0.7748092791530438,0.5094194704916988,0.6862396956246036,0.305611634482639,0.551600456237793
14,0.613004837244276,0.8351104855537415,0.7694846644869998,0.47343773139283574,0.6947368421052632,0.28906829165874776,0.5719225406646729
15,0.605057755633006,0.8307395577430725,0.7829674606881519,0.5222033263439206,0.6848446417247939,0.3024350625389043,0.5848135948181152
16,0.5978974085005503,0.8332213163375854,0.7867663085785459,0.537203299807899,0.6828154724159797,0.30613199331667984,0.6452200412750244
17,0.5901401329135137,0.8393002152442932,0.7930250661684571,0.5529998373458804,0.6857324032974002,0.3090687575402716,0.5992274284362793
18,0.5787381773430204,0.8454310894012451,0.7963257044994551,0.5422160498318099,0.6820545339251743,0.3142808014219974,0.5702927112579346
19,0.574101972911093,0.8498625755310059,0.798598785614199,0.550248859963769,0.6833227647431832,0.30188341086137666,0.5780985355377197
20,0.5660570833891158,0.8619562983512878,0.7977269188852562,0.5599029158627146,0.6890298034242233,0.3027036760071584,0.5538842678070068
